,model,prediction_length,halfmode,trainid,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse,top1acc_std,top1acc_farmost_std,top5acc_std,top5acc_farmost_std,tau_std,rmse_std
0,oracle,2,0,indy500-r0.2,0.8050847457627117,0.7627118644067796,0.8501694915254238,0.8250847457627118,0.87160080366712,7.318463474012049,0.008,0.013,0.002,0.005,0.001,0.089
1,deepAR,2,0,indy500-r0.2,0.5813559322033898,0.5169491525423728,0.7749152542372881,0.7233898305084746,0.7929151985970584,15.062748389918989,0.013,0.012,0.004,0.006,0.001,0.178
2,naive,2,0,indy500-r0.2,0.6440677966101694,0.576271186440678,0.8237288135593219,0.7711864406779662,0.8149622953307029,14.35432081795447,0.000,0.000,0.000,0.000,0.000,0.000
3,curtrack,2,0,indy500-r0.2,0.5872881355932204,0.5016949152542373,0.8098305084745763,0.7569491525423728,0.8310810013673157,12.030444868323482,0.012,0.006,0.002,0.002,0.001,0.072
4,zerotrack,2,0,indy500-r0.2,0.5881355932203389,0.5305084745762711,0.8094915254237287,0.771186440677966,0.8262012742683827,11.869677452089542,0.009,0.009,0.005,0.005,0.002,0.130
5,oracle,2,0,indy500-r0.4,0.7661016949152541,0.7152542372881355,0.8689830508474575,0.8352542372881355,0.8831437869716987,6.280380589050892,0.007,0.009,0.004,0.006,0.001,0.141
6,deepAR,2,0,indy500-r0.4,0.5711864406779661,0.4966101694915254,0.7774576271186441,0.7213559322033898,0.8011520347164716,13.98402739519295,0.020,0.025,0.005,0.008,0.002,0.215
7,naive,2,0,indy500-r0.4,0.6440677966101694,0.576271186440678,0.8237288135593219,0.7711864406779662,0.8149622953307029,14.35432081795447,0.000,0.000,0.000,0.000,0.000,0.000
8,curtrack,2,0,indy500-r0.4,0.6110169491525423,0.523728813559322,0.813728813559322,0.7528813559322034,0.8333991731063073,11.895382449025071,0.015,0.021,0.003,0.002,0.000,0.065
9,zerotrack,2,0,indy500-r0.4,0.5067796610169492,0.4101694915254237,0.7935593220338982,0.7528813559322034,0.8312286852165893,11.101778925772726,0.009,0.011,0.004,0.004,0.001,0.101
10,oracle,2,0,indy500,0.7533898305084745,0.7135593220338983,0.8661016949152541,0.8359322033898305,0.8741033743957891,6.8921831644503495,0.017,0.012,0.003,0.006,0.002,0.123
11,deepAR,2,0,indy500,0.5703389830508475,0.4966101694915254,0.7747457627118643,0.723728813559322,0.787750715487727,15.237751971828697,0.013,0.017,0.005,0.007,0.004,0.434
12,naive,2,0,indy500,0.6440677966101694,0.576271186440678,0.8237288135593219,0.7711864406779662,0.8149622953307029,14.35432081795447,0.000,0.000,0.000,0.000,0.000,0.000
13,curtrack,2,0,indy500,0.573728813559322,0.4779661016949153,0.8018644067796611,0.7416949152542374,0.8195780644815465,12.524878821112825,0.011,0.009,0.002,0.002,0.001,0.093
14,zerotrack,2,0,indy500,0.5652542372881356,0.4915254237288136,0.8067796610169491,0.7627118644067796,0.8331424668773092,11.285240766865384,0.007,0.009,0.004,0.006,0.002,0.222
15,oracle,5,0,indy500-r0.2,0.6900869565217392,0.5460869565217391,0.8274782608695652,0.7561739130434783,0.8307497697469313,9.60238123602105,0.011,0.013,0.002,0.005,0.002,0.173
16,deepAR,5,0,indy500-r0.2,0.4615652173913043,0.35652173913043483,0.6427130434782609,0.5095652173913043,0.664192598981215,27.16023716712011,0.011,0.005,0.004,0.008,0.004,0.490
17,naive,5,0,indy500-r0.2,0.49391304347826087,0.34782608695652173,0.6918260869565217,0.5408695652173913,0.6699201452681292,28.156659307411637,0.000,0.000,0.000,0.000,0.000,0.000
18,curtrack,5,0,indy500-r0.2,0.48173913043478256,0.3426086956521739,0.6915478260869564,0.5474782608695652,0.7075750833879153,23.621736347875324,0.010,0.012,0.001,0.002,0.001,0.112
19,zerotrack,5,0,indy500-r0.2,0.44069565217391304,0.32173913043478264,0.6855652173913044,0.5551304347826086,0.717156926263916,21.72833260674966,0.009,0.018,0.004,0.012,0.001,0.151
20,oracle,5,0,indy500-r0.4,0.6935652173913043,0.5356521739130435,0.8111304347826087,0.744,0.8325958920999845,9.402814511682413,0.005,0.014,0.003,0.005,0.001,0.115
21,deepAR,5,0,indy500-r0.4,0.4316521739130435,0.29391304347826086,0.6573217391304349,0.5064347826086957,0.6674211021821718,26.923767533526863,0.009,0.024,0.005,0.006,0.003,0.391
22,naive,5,0,indy500-r0.4,0.49391304347826087,0.34782608695652173,0.6918260869565217,0.5408695652173913,0.6699201452681292,28.156659307411637,0.000,0.000,0.000,0.000,0.000,0.000
23,curtrack,5,0,indy500-r0.4,0.4316521739130435,0.29565217391304344,0.6779130434782609,0.5304347826086957,0.6972932943550404,24.331207858284586,0.005,0.010,0.003,0.003,0.001,0.082
24,zerotrack,5,0,indy500-r0.4,0.47721739130434776,0.3495652173913043,0.6919652173913043,0.5471304347826087,0.7148131187124075,21.69886163488092,0.013,0.019,0.004,0.006,0.001,0.195
25,oracle,5,0,indy500,0.6615652173913044,0.5008695652173913,0.8260173913043477,0.743304347826087,0.8376401248214635,8.909659346059836,0.011,0.010,0.003,0.004,0.001,0.102
26,deepAR,5,0,indy500,0.4413913043478261,0.32347826086956516,0.6596869565217391,0.519304347826087,0.6617121826449909,27.689207554084618,0.008,0.009,0.007,0.006,0.003,0.320
27,naive,5,0,indy500,0.49391304347826087,0.34782608695652173,0.6918260869565217,0.5408695652173913,0.6699201452681292,28.156659307411637,0.000,0.000,0.000,0.000,0.000,0.000
28,curtrack,5,0,indy500,0.4507826086956522,0.2973913043478261,0.6639304347826086,0.4973913043478261,0.6857471694540169,25.700824273630552,0.004,0.003,0.001,0.003,0.002,0.185
29,zerotrack,5,0,indy500,0.4598260869565217,0.3269565217391304,0.6685913043478261,0.5126956521739131,0.6971534228283697,23.689061144458822,0.012,0.028,0.003,0.006,0.002,0.273
30,oracle,10,0,indy500-r0.2,0.5607272727272727,0.3145454545454545,0.7667272727272727,0.6563636363636364,0.7522206961438173,14.087327965180469,0.007,0.019,0.003,0.005,0.002,0.190
31,deepAR,10,0,indy500-r0.2,0.3563636363636363,0.2,0.5219272727272727,0.3156363636363636,0.530611467204805,40.76218126573964,0.017,0.030,0.006,0.010,0.004,0.517
32,naive,10,0,indy500-r0.2,0.3809090909090909,0.2,0.5649090909090909,0.3527272727272727,0.5340154305129294,41.84736111321075,0.000,0.000,0.000,0.000,0.000,0.000
33,curtrack,10,0,indy500-r0.2,0.35,0.18363636363636365,0.5359272727272727,0.3221818181818182,0.562882670495474,37.9618123594857,0.005,0.004,0.001,0.002,0.002,0.213
34,zerotrack,10,0,indy500-r0.2,0.35563636363636364,0.18,0.5834909090909091,0.3832727272727273,0.5965673788349677,34.22055343030671,0.005,0.019,0.003,0.005,0.001,0.133
35,oracle,10,0,indy500-r0.4,0.496,0.26363636363636367,0.724,0.5549090909090909,0.7402764022575978,15.0562771489713,0.006,0.016,0.005,0.010,0.002,0.171
36,deepAR,10,0,indy500-r0.4,0.3327272727272727,0.15636363636363637,0.5271636363636364,0.30654545454545457,0.5482782451841552,39.21191996115162,0.004,0.011,0.004,0.014,0.002,0.229
37,naive,10,0,indy500-r0.4,0.3809090909090909,0.2,0.5649090909090909,0.3527272727272727,0.5340154305129294,41.84736111321075,0.000,0.000,0.000,0.000,0.000,0.000
38,curtrack,10,0,indy500-r0.4,0.34709090909090906,0.15636363636363634,0.5442909090909092,0.3258181818181818,0.5774368702874348,36.063264279235675,0.003,0.007,0.002,0.004,0.001,0.195
39,zerotrack,10,0,indy500-r0.4,0.35618181818181816,0.17818181818181816,0.5789090909090909,0.352,0.5851990230966795,34.771052573450206,0.009,0.021,0.003,0.005,0.001,0.145
40,oracle,10,0,indy500,0.6074545454545455,0.4672727272727273,0.7837090909090909,0.6985454545454545,0.7641497004832567,13.650929601441922,0.010,0.019,0.004,0.006,0.001,0.104
41,deepAR,10,0,indy500,0.3089090909090909,0.14181818181818182,0.5146545454545455,0.308,0.5161667676526036,41.58609398702025,0.008,0.009,0.006,0.007,0.005,0.583
42,naive,10,0,indy500,0.3809090909090909,0.2,0.5649090909090909,0.3527272727272727,0.5340154305129294,41.84736111321075,0.000,0.000,0.000,0.000,0.000,0.000
43,curtrack,10,0,indy500,0.3567272727272727,0.15636363636363634,0.5518181818181818,0.3487272727272727,0.556859516474998,38.79941620557243,0.009,0.013,0.002,0.002,0.001,0.128
44,zerotrack,10,0,indy500,0.3372727272727273,0.13818181818181818,0.5859636363636364,0.3727272727272727,0.5938613996042253,34.4199011110451,0.016,0.013,0.003,0.003,0.003,0.316
